MATNR	ZZVWERK
EM70000254	ASCO
EM70000255	ASCO
EM70000256	ASCO
EM70000257	ASCO
EM70000258	ASCO
EM70000259	ASCO
EM70000260	ASCO
EM70000261	ASCO
EM70000262	ASCO
EM70000263	ASCO
EM70000264	ASCO
EM70000265	ASCO
EM70000266	ASCO
EM70000267	ASCO
EM70000268	ASCO
EM70000269	ASCO
EM70000270	ASCO
EM70000271	ASCO
EM70000272	ASCO
EM70000273	ASCO
EM70000274	ASCO
EM70000275	ASCO
EM70000276	ASCO
EM70000277	ASCO
EM70000278	ASCO
EM70000279	ASCO
EM70000280	ASCO
EM70000281	ASCO
EM70000282	ASCO
EM70000283	ASCO
EM70000284	ASCO
EM70000285	ASCO
EM70000286	ASCO
EM70000287	ASCO
EM70000288	ASCO
EM70000289	ASCO
EM70000290	ASCO
EM70000291	ASCO
EM70000292	ASCO
EM70000293	ASCO
EM70000294	ASCO
EM70000295	ASCO
EM70000296	ASCO
EM70000297	ASCO
EM70000298	ASCO
EM70000299	ASCO
EM70000300	ASCO
EM70000301	ASCO
EM70000302	ASCO
EM70000303	ASCO
EM70000304	ASCO
EM70000305	ASCO
EM70000306	ASCO
EM70000307	ASCO
EM70000308	ASCO
EM70000309	ASCO
EM70000310	ASCO
EM70000311	ASCO
EM70000312	ASCO
EM70000313	ASCO
EM70000314	ASCO
EM70000315	ASCO
EM70000316	ASCO
EM70000317	ASCO
EM70000318	ASCO
EM70000319	ASCO
EM70000320	ASCO
EM70000321	ASCO
EM70000322	ASCO
EM70000323	ASCO
EM70000324	ASCO
EM70000325	ASCO
EM70000326	ASCO
EM70000327	ASCO
EM70000328	ASCO
EM70000329	ASCO
EM70000330	ASCO
EM70000331	ASCO
EM70000332	ASCO
EM70000333	ASCO
EM70000334	ASCO
EM70000335	ASCO
EM70000336	ASCO
EM70000337	ASCO
EM70000338	ASCO
EM70000339	ASCO
EM70000340	ASCO
EM70000341	ASCO
EM70000342	ASCO
EM70000343	ASCO
EM70000344	ASCO
EM70000345	ASCO
EM70000346	ASCO
EM70000347	ASCO
EM70000348	ASCO
EM70000349	ASCO
EM70000350	ASCO
EM70000351	ASCO
EM70000352	ASCO
EM70000353	ASCO
EM70000354	ASCO
EM70000355	ASCO
EM70000356	ASCO
EM70000357	ASCO
EM70000358	ASCO
EM70000359	ASCO
EM70000360	ASCO
EM70000361	ASCO
EM70000362	ASCO
EM70000363	ASCO
EM70000364	ASCO
EM70000365	ASCO
EM70000366	ASCO
EM70000367	ASCO
EM70000368	ASCO
EM70000369	ASCO
EM70000370	ASCO
EM70000371	ASCO
EM70000372	ASCO
EM70000373	ASCO
EM70000374	ASCO
EM70000375	ASCO
EM70000376	ASCO
EM70000377	ASCO
EM70000378	ASCO
EM70000379	ASCO
EM70000380	ASCO
EM70000381	ASCO
EM70000382	ASCO
EM70000383	ASCO
EM70000384	ASCO
EM70000385	ASCO
EM70000386	ASCO
EM70000387	ASCO
EM70000388	ASCO
EM70000389	ASCO
EM70000390	ASCO
EM70000391	ASCO
EM70000392	ASCO
EM70000393	ASCO
EM70000394	ASCO
EM70000395	ASCO
EM70000396	ASCO
EM70000397	ASCO
EM70000398	ASCO
EM70000399	ASCO
EM70000400	ASCO
EM70000401	ASCO
EM70000402	ASCO
EM70000403	ASCO
EM70000404	ASCO
EM70000405	ASCO
EM70000406	ASCO
EM70000407	ASCO
EM70000408	ASCO
EM70000409	ASCO
EM70000410	ASCO
